Address,General_Plan_Designation,Latitude,Longitude,,,
13366-13380 W  BEACH AVE ,Commerical Manufacturing,33.9916679317488,-118.443320890725,,,
3960-3966 S  GRAND VIEW BLVD,High Medium Residential,34.0020076095517,-118.428880901612,,,
218 S  OCCIDENTAL BLVD,"High Medium
Residential",34.06857,-118.28128,,,
316 N  KENMORE AVE ,Medium Residential,34.07681,-118.29679,,,
252 RAMPART BLVD S,High Medium Residential ,34.067,-118.27812,,,
705 S. Gayley Ave.,High Medium Residential,34.06542,-118.44813,,,
4706-4712 S  CENTINELA AVE ,Medium Residential,33.9903178281265,-118.41988818623,,,
1769 N  SYCAMORE AVE ,High Medium Residential,34.1032215,-118.3434636,,,
14934 W  BURBANK BLVD,"Medium Residential, Low Residential",34.17186,-118.45859,,,
5107 W  HAROLD WAY ,Low Medium II Residential,34.09947,-118.30083,,,
1755 N  CANYON DR  ,Medium Residential,34.10319,-118.31702,,,
11011 W  OTSEGO ST  ,High Medium Residential,34.16308,-118.37103,,,
954 S  CATALINA ST  ,High Medium Residential,34.05403,-118.29462,,,
5513 N  CASE AVE ,High Medium Residential,34.17054,-118.37202,,,
3675 WESTERN AVE  S ,General Commercial,34.02125,-118.30913,,,
233 W  WASHINGTON BLVD,Light Manufacturing,34.0326005,-118.2676653,,,
3748 S  VETERAN AVE ,Medium Residential,34.01641,-118.41298,,,
1854 S  SAWTELLE BLVD,Neighborhood Commercial,34.04272,-118.44498,,,
255 S  MARIPOSA AVE ,High Medium Residential,34.06966,-118.29931,,,
4040 S  DEL REY AVE ,Light Manufacturing,33.9897782038814,-118.44620401785,,,
2600 W  SAN MARINO ST  ,High Medium Residential,34.05492,-118.28441,,,
1500 - 1502 S BEVERLY DR  ,Medium Residential,34.052273,-118.395,,,
3643 S  EMPIRE DR,Medium Residential ,34.02527,-118.40381,,,
18711 W  SHERMAN WAY ,General Commercial,34.20128,-118.54074,,,
1011 S SERRANO AVE ,"Community Commercial, High Medium Residential",34.0522,-118.3065,,,
12444 W CHANDLER BLVD,Neighborhood Office Commercial,34.16825,-118.40449,,,
3647 S  HUGHES AVE ,Medium Residential,34.02637,-118.40148,,,
241 N  LAKE ST  ,High Medium Residential,34.0693581,-118.2701266,,,
11852 W  SANTA MONICA BLVD,General Commercial,34.04211,-118.45935,,,
3562 S  OVERLAND AVE ,General Commerical,34.02355,-118.41058,,,
1827 S  MIDVALE AVE ,Medium Residential,34.04855,-118.43747,,,
7004 N  LENNOX AVE ,Low Medium II Residential,34.1976879057359,-118.445356995026,,,
3330 W  BEVERLY BLVD,General Commercial,34.07311,-118.28539,,,
1947 S  SAWTELLE BLVD,Neighborhood Commercial,34.04122,-118.44415,,,
3672 S  JASMINE AVE ,Medium Residential,34.02438,-118.40378,,,
3515 HYDE PARK BLVD W ,Medium Residential,33.9807,-118.33417,,,
712 N  ALVARADO ST  ,Community Commercial,34.07407,-118.26541,,,
5410 N  QUAKERTOWN AVE ,Medium Residential,34.16853,-118.56947,,,
1021 W  ALPINE ST  ,General Commercial,34.06535,-118.24688,,,
12300 W  PICO BLVD,General Commercial,34.0283062,-118.4519918,,,
1027 W  ALPINE ST  ,General Commercial,34.06545,-118.24701,,,
11110 W  HARTSOOK ST  ,High Medium Residential,34.16384,-118.37284,,,
11036 W  MOORPARK ST,Medium Residential,34.15006,-118.37183,,,
103 S  DOHENY DR  ,High Medium Residential,34.07509,-118.38997,,,
11424 W BURBANK BLVD,"High Medium Residential, Community Commercial",34.17183,-118.37981,,,
1050 N  HOBART BLVD,Medium Residential,34.08999,-118.30498,,,
2361 S  FOX HILLS DR  ,Medium Residential,34.04916,-118.41374,,,
5247 N  VANTAGE AVE,Medium Residential,34.16624,-118.39834,,,
4503 N  COLDWATER CANYON AVE ,Medium Residential,34.1523586449343,-118.414121105341,,,
1750 N  GLENDALE BLVD,General Commercial,34.08713,-118.25942,,,
11811 W  CULVER BLVD,Medium Residential,33.99735,-118.41647,,,
1718 N LAS PALMAS AVE ,Regional Center Commercial,34.10226,-118.33601,,,
11749 W CULVER BLVD,Medium Residential,33.99782,-118.41606,,,
1051 S  CORNING ST  ,Medium Residential,34.05786,-118.37754,,,
415 S  LE DOUX ROAD,Medium Residential,34.07126,-118.37768,,,
12630 W  MATTESON AVE ,Medium Residential,33.9997,-118.43627,,,
1058 S  HOLT AVE ,Medium Residential,34.0576,-118.37816,,,
1233 N HIGHLAND AVE ,Highway Oriented Commercial,34.0934932,-118.3388225,,,
7111 N  SEPULVEDA BLVD,General Commercial,34.19968,-118.46639,,,
11262-11264-1/2 W  OTSEGO ST  ,High Medium Residential,34.1628854473743,-118.376404855298,,,
479 S  FAIRFAX AVE ,,34.06768,-118.36155,,,
11800 W  SANTA MONICA BLVD,General Commercial,34.0426,-118.45824,,,
350 S  ALEXANDRIA AVE ,High Medium Residential,34.06762,-118.29774,,,
951 S  FEDORA ST,"High Medium
Residential",34.054106,-118.298145,,,
12071 WILSHIRE BLVD W,Community Commercial ,34.04457,-118.46718,,,
1837 S SAWTELLE BLVD,-0888.00,34.04291,-118.44567,,,
8719 N  VARIEL AVE ,Medium Residential,34.228945,-118.593008,,,
1220 S  BEDFORD ST,Medium Residential,34.05508,-118.38039,,,
3546 S  OVERLAND AVE ,General Commercial,34.02387,-118.41073,,,
6904 N  ETON AVE ,Medium Residential,34.19583,-118.59532,,,
631 N. Fairfax Ave.,Neighborhood Office Commercial,34.0826,-118.36164,,,
6001 W  PICO BLVD,General Commercial,34.05257,-118.37119,,,
2800 W  OLYMPIC BLVD,Community Commercial,34.05242,-118.2951,,,
4180 W  WILSHIRE BLVD,General Commercial; Medium Residential,34.06148,-118.31872,,,
8664 W  WHITWORTH DR  ,Medium Residential,34.05692,-118.38081,,,
150 N BERENDO ST  ,Medium Residential,34.07425,-118.29398,,,
1505 S  HOLT AVE ,Medium Residential,34.05097,-118.3791,,,
1209 S  BEDFORD DR  ,Medium Residential,34.05585,-118.40493,,,
5327 N  HERMITAGE AVE ,Medium Residential,34.16757,-118.40046,,,
301 S  HARVARD BLVD,Neighborhood Office Commercial,34.06874,-118.30429,,,
905 S  LE DOUX ROAD,Medium Residential,34.06069,-118.37752,,,
12431 W  ROCHESTER AVE ,Neighborhood Commercial,34.03899,-118.4676,,,
4600 N  COLDWATER CANYON AVE ,Medium Residential,34.15402,-118.4136,,,
326 S  RENO ST  ,High Medium Residential,34.06744,-118.28363,,,
850 S CRENSHAW BLVD,Medium Residential,34.05763,-118.32112,,,
901 N  VINE ST  ,Highway Oriented Commercial,34.0873,-118.3268,,,
7000 W  MELROSE AVE ,Neighborhood Office Commercial,34.08331,-118.34295,,,
836 S  CRENSHAW BLVD,Medium Residential,34.058,-118.32091,,,
15566 W  RAYEN ST  ,Medium Residential,34.23174,-118.47244,,,
1900 S  SAWTELLE BLVD,	Neighborhood Commercial,34.04236,-118.44464,,,
12575 W  VENICE BLVD,Community Commercial,34.00264,-118.43624,,,
639 FAIRFAX AVE  N,Neighborhood Office Commercial ,34.0828,-118.36169,,,
501 N WILTON PL  ,Medium Residential,34.08048,-118.31364,,,
5645-5657 N  FARMDALE AVE ,Medium Residential,34.1729702844438,-118.381133049938,,,
8555 W  COLGATE AVE ,Medium Residential,34.07093,-118.37799,,,
8935 N  ORION AVE ,Medium Residential,34.23288,-118.4722,,,
7121 - 7137 Woodley Avenue,Commercial Plan/ Multiple Family Residential,34.199968,-118.484237,,,
1435 W  3RD ST  ,Highway Oriented Commercial/High Medium Residential ,34.05888,-118.26264,,,
5842 W  CARLTON WAY ,High Medium Residential,34.10034,-118.31725,,,
11701 W SANTA MONICA BLVD,General Commercial,34.04381,-118.45641,,,
1515 S COLBY AVE ,Medium Residential,34.04569,-118.45373,,,
4914 W  MELROSE AVE ,Neighborhood Office Commercial,34.0833,-118.30746,,,
10300 W  VENICE BLVD,General Commercial,34.02072,-118.40287,,,
5143 MAPLEWOOD AVE  W ,Medium Residential,34.08041,-118.31505,,,
6200 N  KESTER AVE ,Medium Residential,34.1828,-118.4573,,,
1803 S MESA ST  ,Medium Residential,33.72769,-118.28594,,,
6705 SEPULVEDA BLVD N,Low Medium II Residential,34.19233,-118.46645,,,
11421 W OLYMPIC BLVD,General Commercial,34.03676,-118.44401,,,
12444 W  VENICE BLVD,Community Commercial,34.0028,-118.43476,,,
1217 - 1239 S  WESTGATE AVE ,Medium Residential,34.046648,-118.463268,,,
718 HUDSON AVE  N,Medium Residential,34.08399,-118.33192,,,
11612 W  CULVER BLVD,General Commercial,33.99893,-118.41429,,,
6217 W  WARING AVE ,Medium Residential,34.08538,-118.33155,,,
625 BARRINGTON AVE  S,Medium Residential,34.05687,-118.46824,,,
1023 1/2 S  SHENANDOAH ST ,Medium Residential,34.0588629947614,-118.381492720449,,,
1319 N MARTEL AVE ,Medium Residential,34.09499,-118.35087,,,
729 N  HUDSON AVE ,Medium Residential,34.08426,-118.33219,,,
11916 W  PICO BLVD,General Commercial,34.02999,-118.44856,,,
4091 S  REDWOOD AVE ,Limited Manufacturing,33.99111,-118.44086,,,
846 N  WILCOX AVE ,Medium Residential,34.08661,-118.33084,,,
105 S  FAIRFAX AVE ,General Commercial,34.07398,-118.36162,,,
2859 W  FRANCIS AVE ,High Medium Residential,34.05692,-118.28826,,,
800 S  HARVARD BLVD,High Medium Residential,34.0576721782966,-118.304070817566,,,
1320 W  8TH ST  ,Community Commercial,34.05042,-118.26984,,,
5817 W  CAMERFORD AVE ,Medium Residential,34.0844859846846,-118.324785789344,,,
1330 S FEDERAL AVE ,Medium Residential,34.04765,-118.45636,,,
905 S  ARDMORE AVE ,High Medium Residential,34.05563,-118.30221,,,
5750 HOLLYWOOD BLVD W,High Density Residential ,34.10154,-118.31491,,,
662 S  KELTON AVE ,High Medium Residential,34.06504,-118.45264,,,
4220 W  MONT CLAIR ST  ,Neighborhood Commercial,34.03164,-118.33221,,,
1806 N  GRAMERCY PL  ,Medium Residential,34.10366,-118.31211,,,
330 N  PATTON ST,Medium Residential,34.06594,-118.25864,,,
3644 S  OVERLAND AVE ,General Commercial,34.02231,-118.40953,,,
707 N  COLE AVE ,Neighborhood Office Commercial,34.08372,-118.33005,,,
121 S KINGS ROAD,Medium Residential,34.0738,-118.3723,,,
1306 N  ORANGE DR,Medium Residential,34.09467,-118.34142,,,
5532 N  FULCHER AVE ,High Medium Residential,34.1707022270897,-118.372923162282,,,
18404 W  COLLINS ST  ,Medium Residential,34.17479,-118.53356,,,
1333 S ORANGE GROVE AVE ,Medium Residential,34.05231,-118.36538,,,
11965-11979-1/4 W  MONTANA AVE ,Medium Residential,34.0513837285279,-118.472118443392,,,
11405 W CHANDLER BLVD,Community Commercial,34.16821,-118.37935,,,
11652 W PICO BLVD,General Commercial,34.0318343,-118.444836,,,
5101 N  LANKERSHIM BLVD,Community Commercial,34.16326,-118.37388,,,
3076 W  OLYMPIC BLVD,Community Commercial,34.05238,-118.30271,,,
7346 N  WOODMAN AVE ,Medium Residential,34.2040523707701,-118.43116898921,,,
10534 W SANTA MONICA BLVD,-0888.00,34.05456,-118.42769,,,
3735 S  BENTLEY AVE ,Medium Residential,34.01491,-118.41693,,,
8590 W  PICO BLVD,Neighborhood Office Commercial,34.0535212,-118.378172,,,
2805 S  SEPULVEDA BLVD,Medium Residential,34.0298663125524,-118.430098561023,,,
5300 N  SEPULVEDA BLVD,Medium Residential,34.1668660146144,-118.465550770184,,,
1130 S  ROXBURY DR  ,Medium Residential,34.05643,-118.40496,,,
1729 -1731 S  FEDERAL AVE ,Medium Residential,34.0420697541534,-118.451825613387,,,
8413 W  BLACKBURN AVE ,Medium Residential,34.07224,-118.37373,,,
518 N  GRAMERCY PL  ,Medium Residential,34.08086,-118.3124,,,
2972 W  7TH ST,"Neighborhood
Office Commercial",34.05964,-118.28873,,,
535 S  KINGSLEY DR  ,Neighborhood Office Commercial,34.06428,-118.30317,,,
1431 ARMACOST AVE ,Medium Residential,34.04303,-118.46149,,,
3743 S  MIDVALE AVE ,Medium Residential,34.01737,-118.41181,,,
831 S  HARVARD BLVD,"High Medium
Residential",34.05688,-118.30435,,,
11841 W MAYFIELD AVE ,Medium Residential,34.04973,-118.46627,,,
1143 S GLENVILLE DR  ,Medium Residential,34.05588,-118.39307,,,
11727 W KIOWA AVE ,Medium Residential,34.05056,-118.46334,,,
124 S  CROFT AVE ,Medium Residential,34.07387,-118.37406,,,
11828 W RUNNYMEDE ST  ,Low Medium II Residential,34.20563,-118.39115,,,
4210 S  DEL REY AVE ,Light Manufacturing,33.9881265316406,-118.444654118185,,,
714 N  SWEETZER AVE ,Medium Residential,34.08423,-118.37017,,,
1115 GRANVILLE AVE S ,Medium Residential,34.04931,-118.46387,,,
10647-10651 W  ASHTON AVE ,Medium Residential,34.0601984739077,-118.434629354892,,,
3638 S  MOTOR AVE ,General Commercial,34.02409,-118.40653,,,
3822 S  DUNN DR  ,General Commercial,34.0225394093951,-118.39913564895,,,
338 N  MARIPOSA AVE ,Medium Residential,34.07746,-118.29927,,,
14828 W RAYEN ST  ,Low Median II Residential,34.23171,-118.45633,,,
1707 S  BROCKTON AVE ,Medium Residential,34.0383,-118.45883,,,
1329-1427 W  7TH ST  ,Community Commercial,33.7378108433077,-118.306238390244,,,
6030 S  SEABLUFF DR  ,High Medium Residential,33.97298,-118.42231,,,
6740 N  HAZELTINE AVE ,Neighborhood Office Commercial,34.19327,-118.43981,,,
1311 CAHUENGA BLVD N ,Regional Center Commercial,34.09476,-118.32901,,,
740 S  RIDGELEY DR  ,High Medium Residential,34.06127,-118.35077,,,
7228-7232 N  AMIGO AVE ,Community Commercial,34.2019960027084,-118.53823201386,,,
1416 BEVERLY DR S,Medium Residential,34.05461,-118.39519,,,
7260 W  HAWTHORN AVE ,Medium Residential,34.0996,-118.34834,,,
8435 N  ORION AVE ,Medium Residential,34.22384,-118.47239,,,
18529 W CALVERT ST  ,Medium Residential,34.18195,-118.53686,,,
11407 W  SANTA MONICA BLVD,Neighborhood Commercial,34.04596,-118.45131,,,
11482-11488 W HATTERAS ST  ,Medium Residential,34.1756938498098,-118.381891173469,,,
812 N  CHESTNUT AVE ,Low Medium II Residential,34.11781,-118.17085,,,
15121-15127 W  RAYEN ST  ,,34.2321259413789,-118.46161743336,,,
11038 W  ARMINTA ST  ,Medium Residential,34.21377,-118.37183,,,
11065 W  ARMINTA ST  ,Medium Residential,34.21399,-118.37272,,,
120-128 S GRANVILLE AVE ,Medium Residential,34.0633482854991,-118.470984454275,,,
1123 S  SHENANDOAH ST  ,Medium Residential,34.05635,-118.38162,,,
5203 N  LEMONA AVE ,Low Medium II Residential,34.1651,-118.45987,,,
1363 W  COLTON ST,Medium Residential,34.06386,-118.25844,,,
5820 W  LA MIRADA AVE ,Medium Residential,34.0936710200521,-118.316199113042,,,
963 S  WILTON,Medium Residential,34.05389,-118.31442,,,
10842 W VICTORY BLVD,Medium Residential,34.18653,-118.36745,,,
141 N  NEW HAMPSHIRE AVE,"High Medium
Residential",34.07392,-118.29321,,,
1036 S  NORTON AVE ,Medium Residential,34.05283,-118.32105,,,
118 S  AVENUE 50,"Medium
Residential",34.1042,-118.20184,,,
3022 N NORTH COOLIDGE AVE ,Commercial Manufacturing,34.10452,-118.24433,,,
940 S  WESTERN AVE ,General Commercial,34.05431,-118.30888,,,
1316 W  WILSHIRE BLVD,Regional Center Commercial,34.05399,-118.26747,,,
1352 N  FAIRFAX AVE ,Low Medium II Residential,34.09592,-118.36133,,,
4809 W  OAKWOOD AVE ,Medium Residential,34.0774092,-118.3117249,,,
5019 MAPLEWOOD AVE  W ,Medium Residential,34.08043,-118.31179,,,
849 N  BUNKER HILL AVE ,High Medium Residential,34.0644,-118.24259,,,
459 S  HARTFORD AVE ,High Density Residential,34.05708,-118.26381,,,
7343 N  RESEDA BLVD,General Commercial,34.20424,-118.53625,,,
1102 W 6TH ST  ,Regional Center Commercial,34.05397,-118.26237,,,
215 14TH ST W,Community Commercial,34.03644,-118.26383,,,
844 ALTA VISTA BLVD N  ,Medium Residential,34.08648,-118.34732,,,
6254 W  SUNSET BLVD,Regional Center Commercial,34.09784,-118.32544,,,
2806 W  7TH ST  ,General Commercial,34.05967,-118.28454,,,
1025 N WILCOX AVE ,Medium Residential,34.08972,-118.33116,,,
1138 ORANGE DR   N  ,Medium Residential,34.09191,-118.34148,,,
117 MANHATTAN PL   N ,Medium Residential,34.07358,-118.31041,,,
6150 LAUREL CANYON BLVD N  ,Community Commercial,34.18247,-118.39631,,,
20620 W  ROSCOE BLVD,Low Medium Residential; Medium Residential,34.21985,-118.58303,,,
20600 W ROSCOE BLVD,"Low Medium Residential, Medium Residential",34.21987,-118.58192,,,
3326 N  CHAPMAN ST  ,Low Medium II Residential,34.12145,-118.24327,,,
1565 HI POINT ST   S  ,Medium Residential,34.04822,-118.36978,,,
717 S  MARIPOSA AVE ,Regional Center Commercial,34.0593960662791,-118.298805139397,,,
4090 S  DEL REY AVE ,Light Manufacturing,33.9892924179283,-118.445748165008,,,
610 N  BELMONT AVE ,Low Medium II Residential,34.0713,-118.26201,,,
2645 N  BLIMP ST  ,,34.09642,-118.24315,,,
1771 W  BLAKE AVE ,Commercial Manufacturing,34.09655,-118.24246,,,
507 SYCAMORE AVE  N  ,Low Medium II Residential,34.08051,-118.34289,,,
5081 HIGHLAND VIEW AVE  N  ,Low Medium II Residential,34.13855,-118.20862,,,
12655 W  BLUFF CREEK DR  ,Community Commercial,33.97565,-118.41332,,,
5830 S  MCCONNELL AVE ,Community Commercial,33.97471,-118.41717,,,
21425 W  VANOWEN ST  ,Regional Center Commercial,34.19399,-118.59858,,,
7369 WARING AVE  W  ,Medium Residential,34.0854,-118.3505,,,
1200 S  FIGUEROA ST  ,"High Density Residential, Regional Center Commercial",34.04165,-118.26674,,,
1264 W  ADAMS BLVD,High Medium Residential,34.03252,-118.28812,,,
10269 W  SANTA MONICA BLVD,General Commerical,34.05994,-118.42117,,,
738 PARKMAN AVE  N  ,Low Medium II Residential,34.0799,-118.27509,,,
12208 W  RIVERSIDE DR  ,Low Medium II Residential,34.15736,-118.399,,,
22425 W  DEL VALLE ST  ,Medium Residential,34.1667721185905,-118.617936403679,,,
7118 N  JORDAN AVE,Community Commercial,34.19971,-118.60272,,,
901 S  HOOVER ST  ,High Medium Residential,34.05574,-118.28445,,,
2929 - 2937 W LEEWARD AVE ,High Medium Residential,34.059024,-118.287521,,,
1047 S SERRANO AVE ,High Medium Residential,34.05119,-118.30649,,,
1100 S  CORNING ST  ,Medium Residential,34.0569757,-118.3771773,,,
823-827 Los Angeles Street,Light Manufacturing,34.0417236418595,-118.252762503188,,,
1128 S  SHENANDOAH ST  ,Medium Residential,34.05632,-118.38136,,,
12041 W  GUERIN ST  ,Medium Residential,34.14628,-118.39373,,,
12448 W OSBORNE ST  ,Low Medium I Residential,34.2574756051411,-118.40481019654,,,
14407 W  TIARA ST,"Low Medium II
Residential
",34.17861,-118.44671,,,
9601 N  BADEN AVE,Very Low I Residential,34.24468,-118.61942,,,
4806 W  ELMWOOD AVE ,Medium Residential,34.07813,-118.31173,,,
719 S  CLOVERDALE AVE ,Regional Center Commercial,34.06161,-118.34654,,,
1283 S  3RD AVE ,Low Medium II Residential,34.04759,-118.32011,,,
738 S  OGDEN DR  ,Medium Residential,34.0615,-118.35982,,,
907 S  SHENANDOAH ST  ,Medium Residential,34.06063,-118.3816,,,
11401 N  PORTER RANCH DR  ,Community Commercial,34.27731,-118.57122,,,
26900 S  WESTERN AVE ,Open Space and Low Residential ,33.77491,-118.30872,,,
1101 N NORTH MAIN ST  ,Light Manufacturing,34.0636,-118.23361,,,
935 N  HUDSON AVE ,Medium Residential,34.08815,-118.33232,,,
20305 W  AVENIDA ALEGRE,Community Commercial,34.27535,-118.57612,,,
5955 N  DE SOTO AVE ,Regional Center Commercial,34.1786610720653,-118.591313979312,,,
3131 S  HOOVER ST  ,Community Commercial ,34.02605,-118.28472,,,
6041 VARIEL AVE  N ,Regional Center Commercial,34.1802,-118.59303,,,
6200 VARIEL AVE,,34.18341,-118.59258,,,
1550 N  SAN PABLO ST  ,Light Industrial,34.06359,-118.20244,,,
20000 W  PRAIRIE ST  ,"Industrial Commercial, Light Manufacturing",34.23899,-118.56833,,,
11580 W  RIVERSIDE DR  ,Low Medium II Residential,34.15739,-118.38489,,,
1759 N  NEW HAMPSHIRE AVE ,Medium Residential,34.10346,-118.29349,,,
5101 E  ECHO ST ,Neighborhood Commercial,34.10486,-118.199698,,,
3450 N  GLENDALE BLVD,Limited Manufacturing,34.12089,-118.25735,,,
600 E  L ST  ,Low Residential,33.78686,-118.25593,,,
317 AVENUE 57  S  ,Low Medium II Medium Residential ,34.10501,-118.19213,,,
330 S  RENNIE AVE ,Low Medium II Residential,33.99805,-118.47249,,,
5237-5253 N  BEN AVE ,Low Medium II Residential,34.1659551692381,-118.394630151892,,,
4320 N  EAGLE ROCK BLVD,General Commercial,34.1222989956922,-118.224187317646,,,
2844 GRIFFIN AVE  N ,Low Medium I Residential,34.08047,-118.21169,,,
8544-8654 N  WINNETKA AVE ,Low I Residential,34.2252596452057,-118.570952744362,,,
13245 HUBBARD ST   W ,Low Medium II Residential,34.3152,-118.42186,,,
6136 LEXINGTON AVE  W ,Low Medium II Residential,34.09244,-118.32367,,,
19731 W  STAGG ST  ,Low Residential,34.2108544071182,-118.563555425405,,,
11037 MORRISON ST   W  ,High Medium Residential,34.16117,-118.37174,,,
11326 W VICTORY BLVD,Medium Residential,34.18651,-118.37774,,,
1146 N  BEACHWOOD DR  ,Medium Residential,34.0916070847547,-118.321087666855,,,
11545 W  SATICOY ST,Low Residential,34.2086,-118.38365,,,
4522 LEXINGTON AVE  W  ,Low Medium II Residential ,34.09334,-118.28738,,,
11841 W  RIVERSIDE DR  ,Medium Residential,34.1578977569754,-118.39130308201,,,
10960 W RATNER ST  ,Community Commercial,34.2169,-118.36921,,,
14400 W FRIAR ST  ,Regional Center Commercial,34.18554,-118.44668,,,
808 S  BROADWAY,Regional Center Commercial,34.04342,-118.25478,,,
1801 JOHNSTON ST   N  ,Limited Industrial,34.06454,-118.21033,,,
1238 N  GORDON ST  ,Medium Residential,34.09366,-118.31993,,,
1284 37TH ST   W  ,Low Medium II Residential,34.02075,-118.29701,,,
933 S  WALL ST  ,Light Manufacturing,34.03809,-118.25281,,,
665 Rimpau Boulevard,General Commercial,34.06221,-118.33181,,,
4501 N  MARMION WAY ,Low Medium II Residential,34.09693,-118.20881,,,
400 S  BROADWAY,Regional Center Commercial,34.04925,-118.24934,,,
1120 S GRAND AVE ,High Density Residential,33.73388,-118.29001,,,
1211 S  HILL ST  ,Regional Center Commercial,34.0385389,-118.2616794,,,
1212 S  FLOWER ST  ,High Density Residential,34.04113,-118.26555,,,
1229 S  GRAND AVE ,High Density Residential,34.03958,-118.26405,,,
1400 S  FIGUEROA ST  ,Community Commercial,34.03868,-118.269,,,
22001 W  NORDHOFF ST  ,Very Low I Residential,34.2353199554977,-118.610129976594,,,
1401 W EAGLE VISTA DR  ,Low Median II Residential,34.14026,-118.19478,,,
801 S  OLIVE ST  ,High Density Residential,34.04514,-118.25715,,,
820 S  OLIVE ST,High Density Residential,34.0448041157001,-118.257076792051,,,
940 S  HILL ST  ,High Density Residential,34.04195,-118.25786,,,
811 S  FRANCISCO ST,Regional Center Commercial,34.04852,-118.2632,,,
1038 S  MARIPOSA AVE ,High Medium Residential,34.05151,-118.2988,,,
1408 N POINSETTIA PL  ,Medium Residential,34.09607,-118.3482,,,
1425 N  WATERLOO ST  ,Medium Residential,34.0826548345569,-118.264546842283,,,
14401  VALERIO ST  ,Low Medium II Residential,34.20492,-118.4467,,,
1443 S  HI POINT ST  ,Medium Residential,34.0506099,-118.3691124,,,
11722 S  CULVER BLVD,General Commercial,33.9980029059563,-118.415083323386,,,
1447 MARTEL AVE  N  ,Medium residential ,34.09735,-118.35077,,,
1515 N  LAKE SHORE AVE ,,34.0814763845506,-118.258564955495,,,
1522-1532 S  ORANGE GROVE AVE,"Medium
Residential",34.0486692164672,-118.365896957331,,,
14832 W GILMORE ST  ,Low Medium II Residential,34.18747,-118.45644,,,
15248 W  ROXFORD ST  ,Very Low I Residential,34.31726,-118.46473,,,
2111-2115 N  CAHUENGA BLVD,Medium Residential; Low II Residential,34.1090057413246,-118.33143966255,,,
15340 W  LASSEN ST  ,Low Medium II Residential,34.24981,-118.46669,,,
3950 W  INGRAHAM ST  ,High Medium Residential,34.06057,-118.31302,,,
15717 W  TUPPER ST  ,Low Residential,34.2401368930423,-118.474768134465,,,
6908 S  KNOWLTON PL  ,Medium Residential,33.97461,-118.37115,,,
15727 TUPPER ST   W  ,Low Residential,34.23934,-118.475,,,
17320-17344 W  VANOWEN ST  ,Low Medium I Residential,34.1933563702878,-118.510771759928,,,
1822 S  REDONDO BLVD,Low Medium II Residential,34.04302,-118.35163,,,
18726 W  VANOWEN ST  ,Low Residential,34.1937,-118.54123,,,
938 S  ORANGE GROVE AVE ,Medium Residential,34.05864,-118.36241,,,
18913 W  GAULT ST  ,Low Medium II Residential,34.1994,-118.54541,,,
19141 W  SATICOY ST  ,Low I Residential,34.20852,-118.55071,,,
1922 N  CARMEN AVE ,Medium Residential,34.10592,-118.32282,,,
1925-1939 N  GRIFFITH PARK BLVD,Low Medium II Residential,34.0968919447682,-118.274740334065,,,
20424-20432 W  STAGG ST  ,Low Residential,34.210396703997,-118.578428596728,,,
2211 N  GLENDALE BLVD,Low Medium II Residential,34.094708495082,-118.25931910205,,,
13103 W VICTORY BLVD,Neighborhood Commercial,34.18683,-118.41836,,,
14834-14900 W  NORDHOFF ST  ,Low Medium II Residential,34.2353586859688,-118.455861208504,,,
16110 W  CHASE ST  ,Low Residential,34.2246573994289,-118.483236705389,,,
22720 W  VANOWEN ST  ,Low Residential,34.1936310216785,-118.621648663022,,,
4411 N  LEMP AVE ,Medium Residential,34.1508641879299,-118.384757112296,,,
2325 N  GLENDALE BLVD,Medium Residential,34.0980769568203,-118.259320029353,,,
2905 W  WAVERLY DR  ,Low Medium II Residential,34.10957,-118.26542,,,
10830 N  EL DORADO AVE ,Low Residential,34.2672,-118.42614,,,
1102 CRENSHAW BLVD S ,Neighborhood Office Commercial ,34.05282,-118.32379,,,
2914 W  GLENHURST AVE ,Low Medium II,34.110726978126,-118.252486949151,,,
1118 W  WHITE KNOLL DR  ,Low Medium II Residential,34.07042,-118.24675,,,
3012 W  MARATHON ST,"Medium
Residential",34.08077,-118.27595,,,
321 S  SERRANO AVE ,High Medium Residential,34.0683,-118.30687,,,
3223 ROWENA AVE  W  ,Low Medium II Residential,34.11119,-118.27491,,,
333 N LA FAYETTE PARK PL  ,Low Median II Residential,34.0736200826842,-118.276508175518,,,
1215 S  DUNSMUIR AVE ,Medium Residential,34.0525220475435,-118.352125158565,,,
12360 W  OSBORNE PL  ,Low Medium II Residential,34.26199,-118.40216,,,
3363 N  ANDRITA ST  ,Low Medium II Residential,34.12027,-118.24062,,,
12400 PACIFIC AVE  W  ,Medium Residential,34.0025,-118.43298,,,
3724 VINTON AVE  S  ,Medium residential ,34.02275,-118.40402,,,
13560 N  FENTON AVE ,Very Low II Residential,34.31892,-118.4321,,,
1400 N  STANLEY AVE ,Multiple-Family Low Medium II,34.0964487,-118.3559089,,,
4136 W  NORMAL AVE ,Low Medium II Residential,34.08648,-118.2858,,,
4344 W  WILLOW BROOK AVE ,Low Medium II Residential,34.08952,-118.28584,,,
1417 N  AVENUE 45,Low Medium Residential  II,34.12253,-118.21878,,,
1421 WOODMAN AVE  N  ,,34.204826,-118.431269,,,
4531 N  TUJUNGA AVE ,Low Medium Residential,34.15312,-118.37922,,,
4635 N  CAHUENGA BLVD,Low Medium II Residential,34.15497,-118.3617,,,
