Address,General_Plan_Designation,Latitude,Longitude,,,
15/23 Grace Street and 17 Grace Street,,37.775157176878,-122.4145650175,,,
645-647 Valencia Street,,37.7624999,-122.421373,,,
606 Capp Street,,37.7567382,-122.4180877,,,
1298 Valencia Street,,37.7523096,-122.4209774,,,
1924 Mission Street,,37.7662988,-122.4201207,,,
1950 Mission Street,,37.7658462,-122.4202078,,,
1726-1730 Mission Street,,37.7694661,-122.4204097,,,
2140 Market Street,,37.7671938,-122.4298757,,,
"600 18th St, 2092 Third Street ",,37.7765111,-122.4766667,,,
349 8th Street,,37.7747985432904,-122.409681148389,,,
198 Valencia Street,,37.7700999,-122.4226996,,,
2610 Mission Street,,37.7551623,-122.4190824,,,
2201 Market,,37.7654315,-122.4312147,,,
555 Howard Street,,37.7873789,-122.396875,,,
2632 Mission Street,,37.7548337,-122.419051,,,
1270 Mission Street,,37.7768071,-122.4145228,,,
1298 Howard Street,,37.7755841,-122.4130286,,,
1028 Market Street,,37.7818835,-122.4113233,,,
1228 Folsom Street,,37.7747316,-122.4108081,,,
"667 Folsom Street, 120 Hawthorne Street, 126 Hawthorne Street",,37.7841757,-122.3979393,,,
333 12th Street,,37.7708182,-122.4140073,,,
950 Tennessee,,37.7597477,-122.3898821,,,
1296 Shotwell,,37.7486374,-122.4151178,,,
524 Howard,,37.7882232,-122.3970174,,,
345 6th Street,,37.777954957417,-122.404781347113,,,
950-974 Market,,37.7831754,-122.4095683,,,
75 Arkansas,,37.7653947,-122.3984096,,,
595 Mariposa,,37.7641408,-122.3895284,,,
249 Pennsylvania,,37.7633264,-122.3933643,,,
2060 Folsom,,37.7643172,-122.4153903,,,
"2000-2070 Bryant, 2815 18th Street, 611 Florida",,37.7615451,-122.4103198,,,
1001 Van Ness,,37.7849298,-122.4219108,,,
98 Pennsylvania ,,37.7655618,-122.394221,,,
2675 Folsom,,37.7547526,-122.4140288,,,
2600 Harrison,,37.7553782,-122.4124064,,,
1601 Mariposa Street,,37.7635463,-122.3999112,,,
